authors,year,journal,species,clade,variation type,trophic level,removal/replacement,terrestrial/aquatic,setting,abiotic/biotic,trophic level,interaction,response type,class,measurement type,original notation,intra mean,intra sd,intra N,species mean,species sd,species N
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,biotic,consumer,indirect,abundance,macrophytes,percent,macrophyte cover,0.2074,0.2347,32,0.1037,0.2353,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,biotic,consumer,indirect,composition,bacteria,richness,bacteria richness,19.375,11.7857,32,9.6875,13.2122,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,biotic,consumer,indirect,abundance,bactera,abundance,bacteria abundance,799.15,902.7513,32,585.525,921.5346,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,biotic,consumer,indirect,abundance,invertebrates: rotifers,abundance,rotifer abundance,246365.625,192931.3348,32,123182.8125,198499.1744,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,biotic,consumer,indirect,composition,invertebrates: rotifers,richness,rotifer richness,3.125,1.3133,32,1.5625,1.723,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,biotic,consumer,direct,abundance,invertebrates: zooplankton,biomass,zooplankton biomass,0.375,1.4588,32,1.125,1.6045,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,biotic,consumer,direct,composition,invertebrates: zooplankton,richness,zooplankton richness,2.4738,5.8422,32,2.8537,6.0458,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,biotic,consumer,direct,abundance,invertebrates: zooplankton,abundance,zooplankton abundance,95.59,139.5621,32,60.6813,137.4945,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,abiotic,nutrient,indirect,abundance,light extinction,concentration,light extinction,0.282,0.8418,32,0.3051,0.7964,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,abiotic,nutrient,indirect,abundance,sedimentation,concentration,sedimentation,0.0098,0.0085,32,0.0049,0.0084,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,abiotic,nutrient,direct,abundance,C: dissolved organic,concentration,DOC,0.915,0.6387,32,0.4575,0.7111,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,abiotic,nutrient,indirect,abundance,NO3,concentration,NO3,0.0063,0.02,32,0.0031,0.0189,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,abiotic,nutrient,direct,abundance,PO4,concentration,PO4,0.3188,0.95,32,0.1594,1.0545,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,abiotic,nutrient,direct,abundance,dissolved oxygen,concentration,NPP,0.1035,0.8201,32,0.3897,0.8498,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,abiotic,nutrient,direct,abundance,dissolved oxygen,concentration,respiration,0.0733,0.5621,32,0.1001,0.6128,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,biotic,producer,indirect,composition,phytoplankton,richness,phytoplankton richness,7471231.25,8411046.188,32,3735615.625,8044316.735,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,biotic,producer,indirect,abundance,phytoplankton,abundance,phytoplankton abundance,6.875,3.5418,32,3.4375,4.0633,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,biotic,producer,indirect,abundance,periphyton,biomass,periphyton biomass,6.0381,17.6868,32,3.0191,16.447,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,abiotic,producer,indirect,abundance,dissolved oxygen,production,GPP,0.1766,1.2913,32,0.4896,1.3842,40
Matthews et al.,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,removal,aquatic,field,biotic,producer,indirect,abundance,chlorophyll: phytoplankton,concentration,phytoplankton chlorophyll concentration,7.0855,12.058,32,4.6404,11.1872,40
Rudman and Schluter,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,both,aquatic,field,biotic,consumer,indirect,rate,decomposition,change_mass,decomposition,0.01,0.0211,18,0.0272,0.0226,50
Rudman and Schluter,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,both,aquatic,field,biotic,consumer,direct,abundance,invertebrates: emerged insects,abundance,log(abundance emerged insects),0.9536,0.678,18,0.4033,0.6861,50
Rudman and Schluter,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,both,aquatic,field,biotic,consumer,direct,abundance,invertebrates: benthic,abundance,log(abundance benthic invertebrates),0.3846,0.675,18,0.9536,0.6417,50
Rudman and Schluter,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,both,aquatic,field,abiotic,nutrient,direct,abundance,C: dissolved organic,concentration,DOC,1.1214,1.338,18,0.5054,1.3642,50
Rudman and Schluter,2016,Current Biology,Gasterosteus aculeatus,fish,ecotype,secondary consumer,both,aquatic,field,abiotic,nutrient,direct,abundance,N: total,concentration,total N,0.2013,0.181,18,0.1216,0.1566,50
